name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
GORDON,67.75,27.22,0.45,0.69,1.89,2
WAGNER,93.97,2.5,0.43,0.49,1,1.6
HUNTER,62.92,32.3,0.4,0.97,1.87,1.54
ROMERO,10.44,0.46,1.34,0.95,0.66,86.13
HICKS,69.46,26.14,0.37,0.94,1.68,1.42
DIXON,57.05,38.21,0.38,0.89,1.84,1.62
HUNT,76.03,16.33,0.48,3.93,1.68,1.55
PALMER,77.87,17.31,0.45,0.83,1.62,1.93
ROBERTSON,75.35,20.24,0.41,0.87,1.55,1.58
BLACK,76.65,18.56,0.42,1.35,1.49,1.53
HOLMES,59.22,36.52,0.31,0.73,1.72,1.5
STONE,87.4,7.9,0.55,0.93,1.58,1.64
MEYER,96.07,0.45,0.57,0.24,1.13,1.55
BOYD,65.64,29.94,0.41,0.97,1.66,1.38
MILLS,79.7,16.09,0.4,0.79,1.5,1.52
WARREN,72.5,23.09,0.43,0.8,1.72,1.47
FOX,89.82,5.68,0.55,1.03,1.39,1.54
ROSE,84.23,10.86,0.52,0.61,1.83,1.95
RICE,79.65,16.26,0.4,0.65,1.51,1.52
MORENO,7.05,0.37,0.64,0.48,0.49,90.97
SCHMIDT,96.48,0.28,0.46,0.33,0.87,1.57
PATEL,1.55,0.26,91.37,0.41,5.84,0.57
FERGUSON,77.54,18.05,0.44,0.6,1.66,1.71
NICHOLS,84.29,11.36,0.41,0.69,1.57,1.69
HERRERA,5.6,0.37,1.01,0.68,0.41,91.93
MEDINA,6.39,0.53,1.95,0.39,0.64,90.1
RYAN,93.33,2.82,0.64,0.42,1.17,1.62
FERNANDEZ,11.35,1.28,5.17,0.22,1.29,80.7
WEAVER,85.71,10.02,0.4,1.07,1.4,1.41
DANIELS,57.17,37.83,0.44,0.86,1.92,1.78
STEPHENS,76.54,19.22,0.37,0.64,1.61,1.63
GARDNER,77.23,18.67,0.44,0.67,1.51,1.47
PAYNE,73.69,22.03,0.35,0.54,1.75,1.64
KELLEY,85.81,10.21,0.47,0.62,1.52,1.38
DUNN,82.35,13.48,0.63,0.54,1.48,1.53
PIERCE,82.72,12.63,0.4,1.01,1.61,1.64
ARNOLD,83.35,12.63,0.43,0.55,1.48,1.56
TRAN,1.56,0.16,95.61,0.07,1.98,0.62
SPENCER,71.71,22.55,0.69,1.33,1.97,1.75
PETERS,85.16,9.45,0.78,1.34,1.54,1.73
HAWKINS,63.6,32.07,0.37,0.65,1.72,1.58
GRANT,58.25,36.58,0.41,1.07,1.89,1.81
HANSEN,95.64,0.4,0.6,0.49,1.24,1.62
CASTRO,8.72,0.66,3.83,0.3,0.97,85.52
HOFFMAN,95.45,1.11,0.44,0.53,1.04,1.43
HART,82.71,12.92,0.46,0.73,1.48,1.7
ELLIOTT,83.87,12.16,0.42,0.62,1.48,1.45
CUNNINGHAM,75.56,20.4,0.41,0.47,1.53,1.63
KNIGHT,74.79,20.78,0.4,0.74,1.67,1.63
BRADLEY,71.21,24.39,0.4,0.82,1.62,1.56
CARROLL,85.05,11,0.44,0.63,1.39,1.5
HUDSON,69.35,26.22,0.39,0.9,1.66,1.49
DUNCAN,78.88,16.48,0.39,0.94,1.65,1.66
ARMSTRONG,74.96,20.3,0.47,0.86,1.64,1.76
BERRY,73.27,22.26,0.44,0.68,1.75,1.6
ANDREWS,74.23,20.84,0.59,0.92,1.78,1.65
JOHNSTON,93.13,2.45,0.52,0.74,1.41,1.74
RAY,77.59,17.07,1.25,0.8,1.64,1.66
LANE,79.36,16.22,0.5,0.85,1.52,1.54
RILEY,75.08,20.52,0.39,0.81,1.51,1.68
CARPENTER,88.07,8.13,0.45,0.6,1.32,1.43
PERKINS,71.52,23.95,0.43,0.71,1.76,1.63
AGUILAR,4.7,0.22,1.74,0.66,0.49,92.19
SILVA,33.68,1.19,1.82,0.41,4.75,58.15
RICHARDS,81.74,13.28,0.53,0.94,1.62,1.89
WILLIS,64.74,30.38,0.46,1.16,1.77,1.49
MATTHEWS,66.21,29.45,0.49,0.54,1.79,1.53
CHAPMAN,81.57,14.11,0.42,0.79,1.53,1.58
LAWRENCE,71.93,23.12,0.58,0.91,1.81,1.65
GARZA,6.59,0.19,0.15,0.29,0.31,92.47
VARGAS,6.2,0.44,0.84,0.23,0.51,91.78
WATKINS,64.54,31.38,0.33,0.62,1.78,1.35
WHEELER,82.79,12.84,0.41,0.91,1.45,1.61
LARSON,96.13,0.39,0.55,0.62,1.03,1.27
CARLSON,96.22,0.4,0.54,0.5,1.03,1.32
HARPER,70.12,25.64,0.36,0.6,1.77,1.5
GEORGE,71.44,17.37,4.67,2.22,2.07,2.24
GREENE,70.34,25.52,0.39,0.72,1.73,1.3
BURKE,87.74,8.4,0.48,0.49,1.31,1.57
GUZMAN,4.73,0.49,1.44,0.21,0.45,92.69
MORRISON,81.68,13.8,0.5,0.93,1.6,1.5
MUNOZ,5.52,0.3,0.88,0.29,0.41,92.61
JACOBS,76.65,15.86,0.48,3.66,1.63,1.72
OBRIEN,95.31,1.13,0.53,0.33,1.18,1.52
LAWSON,76.3,19.71,0.33,0.6,1.67,1.39
FRANKLIN,57.22,37.78,0.45,0.87,1.96,1.71
LYNCH,84.22,11.23,0.43,0.98,1.46,1.68
BISHOP,86.38,9.71,0.46,0.51,1.41,1.53
CARR,75.79,20.07,0.36,0.56,1.6,1.63
SALAZAR,6.14,0.28,1.59,0.58,0.52,90.89
AUSTIN,69.57,25.5,0.5,0.81,1.79,1.82
MENDEZ,5.27,0.81,0.47,0.35,0.51,92.6
GILBERT,80.31,14.98,0.42,0.69,1.49,2.11
JENSEN,95.44,0.36,0.58,0.79,1.18,1.65
WILLIAMSON,79.22,16.74,0.39,0.71,1.51,1.44
MONTGOMERY,70.22,25.53,0.45,0.55,1.72,1.53
HARVEY,70.7,24.11,0.41,1.56,1.65,1.58
OLIVER,66.74,26.81,0.54,0.72,1.85,3.33
HOWELL,81.31,14.55,0.36,0.67,1.48,1.64
DEAN,78.74,16.23,0.81,0.64,1.76,1.82
HANSON,93.87,2.39,0.57,0.58,1.2,1.39
WEBER,95.58,1.19,0.46,0.36,1,1.41
GARRETT,72.43,23.57,0.31,0.56,1.65,1.48
SIMS,56.84,39.14,0.32,0.51,1.77,1.42
BURTON,69.73,26.03,0.41,0.53,1.71,1.6
FULLER,75.53,20.39,0.46,0.58,1.64,1.41
SOTO,5.94,0.55,0.47,0.34,0.43,92.27
MCCOY,69,26.39,0.38,0.81,1.73,1.69
WELCH,85.6,9.83,0.45,1.04,1.45,1.63
CHEN,1.68,0.36,95.45,0.02,2,0.49
SCHULTZ,96.24,0.62,0.42,0.37,0.95,1.4
WALTERS,85.31,10.3,0.46,0.86,1.32,1.74
REID,63.24,32.01,0.47,0.57,1.97,1.74
FIELDS,59.74,35.2,0.33,1.24,2,1.49
WALSH,95.9,0.96,0.49,0.2,1.04,1.41
LITTLE,72.28,23.39,0.36,1.2,1.52,1.25
FOWLER,83.34,12.32,0.4,0.96,1.53,1.45
BOWMAN,82.9,12.94,0.42,0.84,1.46,1.45
DAVIDSON,86.25,9.58,0.46,0.6,1.51,1.6
MAY,85.54,9.45,0.94,0.66,1.41,2.01
DAY,85.18,10.12,0.7,0.97,1.46,1.57
SCHNEIDER,96.67,0.33,0.43,0.27,0.9,1.41
NEWMAN,84.97,10.57,0.49,0.65,1.64,1.68
BREWER,83.34,12.03,0.33,1.24,1.58,1.47
LUCAS,73.57,18.33,1.35,0.5,1.72,4.53
HOLLAND,78.86,17.23,0.36,0.55,1.54,1.46
WONG,3.33,0.71,88.5,0.05,4.39,3.02
BANKS,41.3,54.24,0.3,0.41,2.28,1.47
SANTOS,21.93,1.82,13.21,0.33,4.38,58.32
CURTIS,79.88,15.42,0.41,1.07,1.56,1.67
PEARSON,74.49,21.59,0.47,0.43,1.6,1.42
DELGADO,6.45,0.69,0.71,0.24,0.66,91.26
VALDEZ,6.84,0.54,3.36,0.71,0.73,87.82
PENA,5.92,0.51,1.05,0.39,0.58,91.55
RIOS,5.33,0.45,0.39,0.4,0.41,93.02
DOUGLAS,61.34,33.49,0.43,0.68,2.02,2.05
SANDOVAL,6,0.19,0.55,2.18,0.41,90.66
BARRETT,83.22,12.41,0.57,0.55,1.54,1.72
HOPKINS,75.56,20.28,0.42,0.82,1.55,1.37
KELLER,92.93,3.59,0.42,0.47,1.11,1.49
GUERRERO,5.16,0.32,2.36,0.25,0.6,91.32
STANLEY,81.04,14.15,0.52,1.05,1.57,1.65
BATES,77.09,18.56,0.41,0.73,1.48,1.72
ALVARADO,4.79,0.33,0.6,0.29,0.44,93.57
BECK,91.73,4.47,0.58,0.6,1.23,1.39
ORTEGA,5.69,0.33,1.1,0.62,0.43,91.83
WADE,67.49,28.13,0.36,0.65,1.87,1.49
ESTRADA,5.23,0.49,1.77,0.33,0.53,91.65
CONTRERAS,4.72,0.24,0.62,0.3,0.37,93.75
BARNETT,78.75,16.63,0.36,0.86,1.78,1.63
CALDWELL,70.27,25.58,0.34,0.69,1.55,1.57
SANTIAGO,5.86,1.46,4.43,0.19,0.84,87.22
LAMBERT,85.71,9.34,0.46,1.16,1.39,1.94
POWERS,91.01,5.14,0.51,0.52,1.23,1.58
CHAMBERS,68.8,26.93,0.36,0.56,1.78,1.57
NUNEZ,6.44,0.77,0.8,0.3,0.47,91.21
CRAIG,81.17,14.47,0.5,0.68,1.57,1.61
LEONARD,82.59,13.14,0.45,0.75,1.32,1.75
LOWE,75.29,18.53,1.66,0.94,1.83,1.75
RHODES,77.16,19.04,0.32,0.62,1.45,1.41
BYRD,61.25,34.2,0.26,1.08,1.83,1.39
GREGORY,80.87,14.62,0.43,0.75,1.51,1.82
SHELTON,76.18,19.76,0.36,0.62,1.7,1.37
FRAZIER,59.05,36.14,0.37,1.29,1.85,1.3
BECKER,96.4,0.46,0.45,0.31,1.02,1.38
MALDONADO,5.53,0.51,0.33,0.27,0.42,92.95
FLEMING,74.59,21.51,0.44,0.48,1.55,1.43
VEGA,6.46,0.6,0.65,0.29,0.45,91.54
SUTTON,75.08,20.88,0.37,0.64,1.61,1.41
COHEN,90.63,5.51,0.42,0.11,1.23,2.11
JENNINGS,73.38,22.36,0.54,0.56,1.62,1.53
PARKS,71.48,24.25,0.53,0.57,1.8,1.37
MCDANIEL,78.48,17.53,0.3,0.59,1.59,1.5
WATTS,70.81,24.96,0.35,0.73,1.66,1.48
BARKER,88.54,7.24,0.48,0.63,1.42,1.69
NORRIS,82.01,13.81,0.37,0.93,1.53,1.35
VAUGHN,73.63,22.02,0.33,0.71,1.74,1.57
VAZQUEZ,4.6,0.34,0.19,0.09,0.27,94.52
HOLT,81.19,14.44,0.52,0.78,1.69,1.38
SCHWARTZ,96.77,0.4,0.46,0.16,1,1.21
STEELE,80.39,14.94,0.41,1.08,1.47,1.71
BENSON,79.98,15.65,0.61,0.74,1.48,1.55
NEAL,64.69,30.91,0.42,0.69,1.84,1.43
DOMINGUEZ,6.16,0.43,1.15,0.37,0.46,91.43
HORTON,72.15,23.5,0.4,0.69,1.73,1.53
TERRY,68.82,26.63,0.41,0.73,1.73,1.68
WOLFE,92.29,3.37,0.43,1.27,1.21,1.43
HALE,83.99,11.17,0.46,1.19,1.59,1.6
LYONS,76.88,18.55,0.45,0.94,1.67,1.51
GRAVES,71.95,23.56,0.37,0.72,1.74,1.66
HAYNES,63.72,32.01,0.3,0.56,1.71,1.7
MILES,63.61,31.8,0.43,0.81,1.76,1.59
PARK,30.06,0.82,66.3,0.2,1.77,0.85
WARNER,86.32,9.69,0.51,0.61,1.4,1.48
PADILLA,6.94,0.34,2.07,1,0.64,88.99
BUSH,74.14,21.49,0.52,0.78,1.53,1.55
THORNTON,69.33,26.53,0.37,0.66,1.8,1.31
MCCARTHY,93.9,2.78,0.54,0.26,1.12,1.41
MANN,83.1,9.68,2.41,1.28,1.73,1.81
ZIMMERMAN,94.81,2.27,0.43,0.27,0.97,1.25
ERICKSON,96.39,0.24,0.5,0.54,1.08,1.26
FLETCHER,75.52,19.92,0.47,0.73,1.69,1.68
MCKINNEY,71.57,24.31,0.29,0.8,1.68,1.35
PAGE,77.16,18.66,0.48,0.54,1.43,1.73
DAWSON,70.48,25.22,0.48,0.51,1.72,1.59
JOSEPH,35.48,48.84,6.91,1.09,5.31,2.37
MARQUEZ,5.69,0.56,2.79,0.48,0.64,89.84
REEVES,79.79,15.66,0.46,0.7,1.64,1.75
KLEIN,96.53,0.3,0.4,0.23,1.05,1.49
ESPINOZA,4.38,0.25,0.37,0.41,0.31,94.29
BALDWIN,79.12,16.51,0.41,0.9,1.44,1.62
MORAN,71.43,2.44,0.55,0.82,1.04,23.71
LOVE,59.3,36.26,0.45,0.56,1.86,1.58
ROBBINS,89.09,7.03,0.41,0.8,1.36,1.3
HIGGINS,85.92,10.27,0.41,0.51,1.37,1.52
BALL,84.53,11.7,0.43,0.5,1.17,1.66
CORTEZ,7.03,0.72,2.79,0.33,0.58,88.54
LE,1.83,0.29,95.15,0.03,2.13,0.56
GRIFFITH,85.82,9.8,0.37,0.66,1.62,1.74
BOWEN,84.52,11.06,0.41,0.69,1.59,1.73
SHARP,85.12,10.5,0.45,0.95,1.4,1.58
CUMMINGS,75.47,18.38,0.68,2.15,1.84,1.49
RAMSEY,79.54,16.13,0.34,0.67,1.64,1.68
HARDY,63.67,31.73,0.39,1.1,1.65,1.45
SWANSON,92.01,4.59,0.55,0.4,1.09,1.36
BARBER,77.88,17.4,0.55,0.99,1.6,1.57
ACOSTA,8.04,0.69,2.36,0.29,0.63,87.99
LUNA,9.78,0.37,2,0.58,0.7,86.58
CHANDLER,76.77,19.11,0.5,0.55,1.59,1.48
BLAIR,82.13,13.52,0.47,0.61,1.68,1.59
DANIEL,67.02,24.05,2.12,0.58,1.95,4.27
CROSS,77.68,17.63,0.41,0.9,1.73,1.66
SIMON,69.94,20.95,1.98,0.65,1.83,4.66
DENNIS,68.5,26.49,0.44,0.72,1.83,2.03
OCONNOR,94.75,1.74,0.58,0.25,1.1,1.58
QUINN,88.13,7.91,0.52,0.45,1.26,1.73
GROSS,86.61,9.85,0.41,0.31,1.15,1.67
NAVARRO,7.9,0.45,4.1,0.27,0.71,86.57
MOSS,71.87,24.11,0.37,0.71,1.48,1.46
FITZGERALD,88.03,8.44,0.49,0.32,1.28,1.43
DOYLE,90.74,5.37,0.46,0.53,1.31,1.6
MCLAUGHLIN,89.65,6.73,0.42,0.47,1.17,1.55
ROJAS,4.77,0.43,0.85,0.21,0.44,93.31
RODGERS,72.92,22.64,0.42,0.63,1.62,1.76
STEVENSON,65.79,29.69,0.45,0.51,1.79,1.76
SINGH,3.51,3.09,74.44,1.01,15.3,2.65
YANG,0.95,0.13,95.03,0.04,3.49,0.35
FIGUEROA,5.46,0.93,0.99,0.24,0.52,91.86
HARMON,80.01,15.95,0.39,0.77,1.51,1.38
NEWTON,77.9,17.74,0.44,0.72,1.56,1.64
PAUL,73.8,16.16,3.63,1.94,2.6,1.87
MANNING,76.64,19.14,0.42,0.83,1.41,1.55
GARNER,74.14,21.99,0.37,0.59,1.51,1.4
MCGEE,64.94,30.69,0.35,0.62,1.81,1.6
REESE,68.17,27.73,0.35,0.59,1.49,1.66
FRANCIS,63.89,27.57,1.3,2.08,2.44,2.72
BURGESS,77.77,17.43,0.56,1.02,1.75,1.48
ADKINS,88.92,7.52,0.28,0.87,1.26,1.15
GOODMAN,80.66,15.12,0.43,0.97,1.25,1.58
CURRY,61.73,34.25,0.42,0.42,1.68,1.51
BRADY,89.02,6.56,0.46,0.86,1.24,1.86
CHRISTENSEN,95.86,0.27,0.51,0.62,1.13,1.61
POTTER,90.33,5.19,0.47,0.78,1.52,1.7
WALTON,62.56,33.54,0.32,0.47,1.67,1.44
GOODWIN,78.97,16.82,0.41,0.82,1.55,1.42
MULLINS,89.92,6.75,0.3,0.6,1.25,1.17
MOLINA,6.6,0.46,2.34,0.85,0.62,89.13
WEBSTER,76.16,18.51,0.48,1.34,1.88,1.64
FISCHER,95.71,0.86,0.45,0.35,1.08,1.55
CAMPOS,7.55,0.3,1.5,0.25,0.85,89.55
AVILA,8.33,0.4,0.94,0.26,0.64,89.43
SHERMAN,84.91,10.9,0.46,0.91,1.35,1.48
TODD,82.81,12.95,0.47,0.61,1.59,1.58
CHANG,2.28,0.94,90.13,0.02,3.69,2.94
BLAKE,74.04,21.11,0.42,0.78,1.78,1.86
MALONE,69.8,26.01,0.43,0.64,1.58,1.54
WOLF,94.96,1.04,0.48,0.97,1.15,1.4
HODGES,75.92,19.89,0.42,0.46,1.56,1.75
JUAREZ,4.08,0.22,0.43,0.23,0.32,94.72
GILL,70.9,14.15,8.35,0.53,2.28,3.79
FARMER,79.01,16.88,0.34,0.99,1.42,1.35
HINES,60.48,35.62,0.38,0.46,1.56,1.49
GALLAGHER,96.08,0.58,0.46,0.25,1.02,1.61
DURAN,11.58,0.56,1.09,0.93,0.68,85.17
HUBBARD,73.47,22.2,0.34,0.93,1.67,1.39
CANNON,72.24,23.73,0.38,0.54,1.6,1.5
MIRANDA,14.34,0.97,4.08,0.57,1.83,78.2
WANG,3.25,0.19,94.47,0.03,1.73,0.33
SAUNDERS,69.67,25.59,0.44,0.75,1.9,1.65
TATE,58.16,37.54,0.47,0.73,1.72,1.38
MACK,47.35,48.38,0.6,0.56,1.74,1.37
HAMMOND,80.78,15.11,0.43,0.82,1.52,1.34
CARRILLO,6.04,0.27,0.73,0.47,0.39,92.1
TOWNSEND,70.59,25.03,0.43,0.75,1.62,1.59
WISE,80.67,14.97,0.5,0.65,1.54,1.68
INGRAM,63.69,32.14,0.31,0.54,1.76,1.56
BARTON,87.13,7.55,0.43,1.43,1.38,2.08
MEJIA,3.99,0.49,1.44,0.28,0.55,93.25
AYALA,4.77,0.57,0.48,0.23,0.45,93.51
SCHROEDER,96.74,0.23,0.48,0.39,0.86,1.3
HAMPTON,56.28,39.52,0.34,0.65,1.88,1.33
ROWE,82.19,13.53,0.51,0.56,1.56,1.65
PARSONS,92.71,3.39,0.41,0.57,1.41,1.51
FRANK,86.69,7.38,0.7,2.1,1.34,1.78
WATERS,75.27,20.52,0.37,0.79,1.54,1.51
STRICKLAND,78.49,16.14,0.36,2.16,1.53,1.32
OSBORNE,83.98,11.98,0.38,0.63,1.59,1.44
MAXWELL,75.79,19.66,0.43,0.59,1.7,1.82
CHAN,2.72,0.54,91.01,0.04,2.82,2.87
DELEON,7.55,1.06,8.29,0.23,0.93,81.94
NORMAN,71.58,24.13,0.42,0.61,1.71,1.54
HARRINGTON,83.92,11.97,0.53,0.59,1.49,1.51
CASEY,88.51,7.25,0.49,0.66,1.6,1.5
PATTON,75.56,20.18,0.39,0.78,1.62,1.48
LOGAN,67.08,27.1,0.56,1.06,2.05,2.15
